DeviceLogId,DownloadDate,DeviceId,UserId,LogDate,Direction,AttDirection,C1,C2,C3,C4,C5,C6,C7,WorkCode,UpdateFlag,IsApproved,EmployeeImage,FileName,Longitude,Latitude,CreatedDate,LastModifiedDate,LocationAddress,BodyTemperature,IsMaskOn
82548,12/01/2020 12:30:25,19,HR/EN/0245,11/30/2020 19:06:11,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:25,NULL,NULL,0,0
82547,12/01/2020 12:30:25,19,HR/EN/0245,11/30/2020 19:06:06,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:25,NULL,NULL,0,0
82546,12/01/2020 12:30:25,19,HR/EN/1444,11/30/2020 19:05:58,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:25,NULL,NULL,0,0
82545,12/01/2020 12:30:25,19,HR/EN/1444,11/30/2020 19:05:49,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:25,NULL,NULL,0,0
82544,12/01/2020 12:30:24,19,HR/EN/1681,11/30/2020 19:05:40,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
82543,12/01/2020 12:30:24,19,HR/EN/1681,11/30/2020 19:05:36,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
82542,12/01/2020 12:30:24,19,HR/EN/0157,11/30/2020 19:05:24,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
17775,12/01/2020 10:49:06,27,HR/EN/1421,11/30/2020 18:51:19,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 10:49:06,NULL,NULL,0,0
82541,12/01/2020 12:30:24,19,7000,11/30/2020 18:51:09,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
82540,12/01/2020 12:30:24,19,HR/EN/1161,11/30/2020 18:44:46,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
82539,12/01/2020 12:30:24,19,HR/EN/1161,11/30/2020 18:44:41,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
82538,12/01/2020 12:30:24,19,HR/EN/1161,11/30/2020 18:44:33,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
82537,12/01/2020 12:30:24,19,7004,11/30/2020 18:30:39,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
82536,12/01/2020 12:30:24,19,7004,11/30/2020 18:30:34,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
82535,12/01/2020 12:30:24,19,HR/EN/5037,11/30/2020 18:28:34,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
82534,12/01/2020 12:30:24,19,HR/EN/5037,11/30/2020 18:28:30,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
82533,12/01/2020 12:30:24,19,HR/EN/5037,11/30/2020 18:28:26,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
82532,12/01/2020 12:30:24,19,HR/EN/5037,11/30/2020 18:28:20,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
82531,12/01/2020 12:30:24,19,HR/EN/0001,11/30/2020 18:25:59,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
82530,12/01/2020 12:30:24,19,HR/EN/0001,11/30/2020 18:25:55,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
82529,12/01/2020 12:30:24,19,HR/EN/0001,11/30/2020 18:25:48,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:24,NULL,NULL,0,0
